o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
4200103,106213,O,182718.54,1997-12-03,4-NOT SPECIFIED,Clerk#000000297,0,y bold accounts nag alongside of the ironic accounts. doggedly reg
4200128,97453,F,211519.22,1992-02-03,5-LOW,Clerk#000000608,0, furiously pending packages among the carefully bold deposits nag carefully qu
4200129,12566,F,320160.96,1992-11-07,2-HIGH,Clerk#000000736,0,posits use. platelets engage carefully regular requests. blithely regular 
4200130,137929,F,13996.45,1993-04-23,2-HIGH,Clerk#000000490,0,manent pearls haggle. furiously bold theodolites are blithely. blithely
4200131,48001,F,187502.15,1994-02-13,3-MEDIUM,Clerk#000000106,0,ockey players. furiously pending ex
4200132,33833,O,246399.71,1996-04-24,2-HIGH,Clerk#000000030,0,refully ironic requests detect. carefully regular deposits cajol
4200133,128398,O,50363.49,1996-04-04,4-NOT SPECIFIED,Clerk#000000350,0, blithely even dependencies. furiously brave theodolites sleep caref
4200134,72353,F,232298.28,1993-10-12,4-NOT SPECIFIED,Clerk#000000038,0,. theodolites wake special deposits. carefully special
4200135,131027,F,250900.54,1993-05-17,2-HIGH,Clerk#000000497,0,s serve across the blithely bol
4200160,13556,F,71419.35,1994-04-06,3-MEDIUM,Clerk#000000122,0,y ruthless deposits. idly special deposits against the furiously quick
4200161,124888,F,289180.47,1994-05-13,4-NOT SPECIFIED,Clerk#000000277,0,express deposits. final accounts hang quickly along the fluffil
4200162,35065,O,212054.50,1995-08-30,3-MEDIUM,Clerk#000000288,0,blithely even ideas eat carefully about the furiously even tithes. slyly iron
4200163,112288,F,110096.78,1992-07-14,3-MEDIUM,Clerk#000000361,0,"tegrate. bold theodolites haggle quickly unusual foxes. bold, per"
4200164,52750,F,163462.93,1993-10-23,3-MEDIUM,Clerk#000000646,0," ironic requests detect fluffily. even, final d"
4200165,59929,O,110210.84,1998-06-06,2-HIGH,Clerk#000000292,0,. quickly unusual accounts agains
4200166,125974,F,7620.66,1992-11-28,4-NOT SPECIFIED,Clerk#000000296,0,kly bold accounts. regul
4200167,140491,F,8723.99,1994-04-08,4-NOT SPECIFIED,Clerk#000000696,0,the blithely regular deposit
4200192,66710,P,312455.04,1995-04-26,3-MEDIUM,Clerk#000000487,0,efully beneath the carefully bold requests. eve
4200193,92776,F,83581.29,1994-11-26,1-URGENT,Clerk#000000988,0,se quickly blithely close pinto beans. furiously silent deposits wake p
4200194,22153,F,277650.63,1992-12-17,2-HIGH,Clerk#000000093,0,ests. accounts sleep. carefully special asymptotes integrate furiousl
4200195,16840,O,255321.51,1996-02-21,4-NOT SPECIFIED,Clerk#000000115,0,to beans haggle carefully even platelet
4200196,100709,O,7002.91,1995-05-26,3-MEDIUM,Clerk#000000586,0,fully since the slyly ironic reques
4200197,10327,O,203786.69,1996-08-08,3-MEDIUM,Clerk#000000439,0,dencies. final foxes boost. ironic packages boost across the slyly pend
4200198,149906,F,186301.38,1993-06-19,3-MEDIUM,Clerk#000000959,0,its use carefully carefully ironic instructions. regular platelets haggle fluf
4200199,66985,O,47670.14,1996-09-03,3-MEDIUM,Clerk#000000537,0,olites wake furiously final deposits. pending deposits 
4200224,39629,F,70252.79,1993-06-07,5-LOW,Clerk#000000041,0,s against the quickly blithe platelets boost slyl
4200225,40516,O,199453.64,1997-03-20,5-LOW,Clerk#000000320,0,egrate furiously blithely regular accounts. slyly final deposits ser
4200226,90835,F,207262.79,1994-12-04,5-LOW,Clerk#000000944,0,al dependencies according to the furiously ironic p
4200227,92552,F,262874.77,1993-04-18,5-LOW,Clerk#000000474,0,y thin packages again
4200228,21313,F,15471.58,1992-06-04,3-MEDIUM,Clerk#000000295,0,mptotes. furiously regular theodolit
4200229,124261,O,41534.38,1997-04-13,1-URGENT,Clerk#000000763,0,nal asymptotes: silent theodolites wake slyly. slyly regul
4200230,136370,O,18837.12,1995-08-21,3-MEDIUM,Clerk#000000932,0, packages sleep quickly express dolphins
4200231,119917,F,17331.35,1992-12-21,2-HIGH,Clerk#000000963,0,ly regular pinto beans. furiously express platelets ma
4200256,25283,F,240351.33,1992-09-30,1-URGENT,Clerk#000000071,0,; carefully permanent accounts wake carefully along the permanently regular 
4200257,116119,F,82107.90,1992-09-03,1-URGENT,Clerk#000000670,0,leep fluffily quickly regular pinto beans. carefully unusual platelets slee
4200258,82702,O,197466.08,1998-06-23,4-NOT SPECIFIED,Clerk#000000823,0,ular requests-- foxes haggle slyl
4200259,40790,F,35455.66,1994-01-21,1-URGENT,Clerk#000000904,0,tructions are furiously. blithely 
4200260,51193,O,140949.06,1996-11-01,3-MEDIUM,Clerk#000000647,0,y bold deposits affix furiously pendin
4200261,122792,F,80694.18,1994-07-01,1-URGENT,Clerk#000000305,0, requests nag blithely pending foxes. slyly even packages use fur
4200262,54511,F,25447.43,1993-11-19,5-LOW,Clerk#000000697,0,al theodolites boost carefully. slowly regular deposits sle
4200263,93974,F,46910.97,1995-01-20,5-LOW,Clerk#000000571,0,de of the ironic excuses; final packages cajole atop the s
4200288,60586,F,79965.43,1993-08-04,1-URGENT,Clerk#000000751,0,ronic deposits. blithely final dolphins are slyly. even platelets na
4200289,47398,P,96986.34,1995-05-04,2-HIGH,Clerk#000000070,0,bout the carefully furious excuses wake bravely after the fluffy instruct
4200290,117802,F,177437.36,1994-10-13,4-NOT SPECIFIED,Clerk#000000272,0,thrash ironically. furiously final fo
4200291,43531,F,300264.00,1994-07-03,5-LOW,Clerk#000000298,0, ironic requests. furiously exp
4200292,59452,F,160322.76,1994-01-04,4-NOT SPECIFIED,Clerk#000000436,0,l excuses are quickly among the slyly ironic sentiments. furiously ironic ins
4200293,31931,F,313460.57,1992-07-02,2-HIGH,Clerk#000000857,0," nag quickly bold, ironic deposits. final accounts "
4200294,105001,F,116051.87,1993-03-21,1-URGENT,Clerk#000000107,0,"ully special deposits. ironic, f"
4200295,119251,F,269896.25,1992-02-12,3-MEDIUM,Clerk#000000166,0,y carefully even packages. final cour
4200320,70598,F,218973.55,1993-09-25,2-HIGH,Clerk#000000971,0,posits cajole stealthily care
4200321,32843,O,236367.84,1995-11-11,1-URGENT,Clerk#000000696,0,"ial, unusual theodolites hinder. express a"
4200322,140557,F,144977.79,1995-03-05,3-MEDIUM,Clerk#000000595,0, detect slyly pending th
4200323,137288,O,168862.45,1998-07-28,2-HIGH,Clerk#000000971,0,lyly according to the bold deposits. quickly bold re
4200324,96974,F,319332.80,1994-03-06,3-MEDIUM,Clerk#000000315,0,efully final theodolites wake furiously i
4200325,91064,O,270845.77,1998-02-19,4-NOT SPECIFIED,Clerk#000000118,0,"pecial deposits. slyly bold dependencies are slyly around the ironic, speci"
4200326,50998,F,72287.53,1994-05-24,1-URGENT,Clerk#000000962,0,. foxes cajole blithely. bold ideas wake. slyly ironic forges around the p
4200327,7208,F,190084.59,1992-03-25,5-LOW,Clerk#000000674,0,y ironic requests boost evenly unusual accounts. pending requests print 
4200352,92833,F,180415.30,1992-03-28,1-URGENT,Clerk#000000162,0,"silent, even requests. quickly silent reques"
4200353,88648,O,18839.62,1995-08-21,3-MEDIUM,Clerk#000000127,0," blithely even accounts use. even, special deposits use i"
4200354,81373,O,275012.35,1996-08-16,1-URGENT,Clerk#000000596,0,arefully express pains haggle. instr
4200355,63158,O,125732.58,1995-07-02,4-NOT SPECIFIED,Clerk#000000710,0,o beans beside the blithely regular d
4200356,82418,F,170103.45,1992-09-24,4-NOT SPECIFIED,Clerk#000000326,0,mong the slyly silent 
4200357,91589,F,305504.60,1994-04-19,2-HIGH,Clerk#000000328,0,pendencies affix. iro
4200358,24823,F,183223.69,1992-06-02,1-URGENT,Clerk#000000067,0, furiously final requests according to the ironic theodolites cajole
4200359,23375,F,142875.40,1994-07-05,1-URGENT,Clerk#000000584,0,"fully into the pending, ironic packages. qui"
4200384,2131,O,175964.07,1996-12-23,5-LOW,Clerk#000000826,0,y. slyly even epitaphs might haggle slyly after the fluff
4200385,112585,F,288507.06,1994-11-25,2-HIGH,Clerk#000000949,0,er the quick accounts. even requests by 
4200386,87658,O,182571.18,1997-11-10,4-NOT SPECIFIED,Clerk#000000027,0,its sleep slyly. ironic excuses use. carefully silent packages 
4200387,109865,O,16512.14,1996-11-28,1-URGENT,Clerk#000000067,0,fter the furiously pending epitap
4200388,140881,O,211159.36,1997-11-15,1-URGENT,Clerk#000000011,0,ular requests. furiously ironic packages cajole
4200389,8893,O,1484.38,1998-02-20,1-URGENT,Clerk#000000730,0,y pending instructions. furiously ironic requests haggle. carefully regular 
4200390,48991,F,232636.36,1993-06-16,4-NOT SPECIFIED,Clerk#000000720,0,"lar accounts cajole across the special, special asympto"
4200391,9518,F,279286.54,1993-06-05,5-LOW,Clerk#000000191,0,ven dugouts are furiously. silent foxes are slyly. blithely specia
4200416,52393,F,193548.62,1993-12-23,1-URGENT,Clerk#000000943,0,out the quickly bold packages.
4200417,62440,F,35293.81,1994-07-18,2-HIGH,Clerk#000000134,0,"gside of the even, special"
4200418,5203,F,162171.93,1992-09-19,4-NOT SPECIFIED,Clerk#000000623,0,y regular excuses alongside of the c
4200419,116735,F,32778.48,1995-04-01,4-NOT SPECIFIED,Clerk#000000752,0,s beyond the even asymptotes may are quickly above the
4200420,104389,O,115919.78,1998-02-23,1-URGENT,Clerk#000000319,0,ully bold dependencies. quickly pending deposits cajol
4200421,32468,F,74938.48,1995-01-01,1-URGENT,Clerk#000000112,0,platelets; regular accounts nag! blithely re
4200422,129769,O,63721.47,1998-02-16,1-URGENT,Clerk#000000963,0,ding foxes wake behind the silent multipliers. carefully even plat
4200423,14165,O,189214.92,1998-05-10,2-HIGH,Clerk#000000012,0,tes. regular pinto beans thrash blithely above the even 
4200448,11005,F,89765.81,1994-10-17,4-NOT SPECIFIED,Clerk#000000652,0,ackages affix blithely quick pin
4200449,9445,O,165628.50,1998-06-09,2-HIGH,Clerk#000000505,0,blithely pending theodolite
4200450,32132,F,203631.99,1994-02-04,5-LOW,Clerk#000000334,0,uests wake furiously against the regular requests. e
4200451,37741,F,291920.23,1992-07-28,2-HIGH,Clerk#000000703,0,foxes sleep slyly above
4200452,92423,O,210913.77,1996-04-09,3-MEDIUM,Clerk#000000983,0,haggle carefully final requests. spec
4200453,97576,F,27464.25,1992-05-31,4-NOT SPECIFIED,Clerk#000000497,0,special deposits haggle quickly. Tiresias are furiously. final deposits solv
4200454,148139,F,163532.60,1992-03-03,5-LOW,Clerk#000000012,0,oxes haggle slyly slyly ironic hockey players. even requ
4200455,60598,O,148415.69,1998-01-26,5-LOW,Clerk#000000468,0,ely express foxes. furiously regular de
4200480,93160,F,165279.88,1992-09-09,3-MEDIUM,Clerk#000000090,0,ss the requests. fluffily bold patterns wak
4200481,35651,F,160003.88,1995-02-05,5-LOW,Clerk#000000019,0,"ding, ironic deposits haggle quickly beyond the"
4200482,75016,F,311414.33,1993-04-26,5-LOW,Clerk#000000487,0,"ages. even, final cour"
4200483,21067,O,78304.96,1995-11-02,5-LOW,Clerk#000000954,0,hely even accounts wake furio
4200484,42118,F,37708.54,1993-05-28,1-URGENT,Clerk#000000486,0,ending requests. slyly even platel
4200485,3023,O,284121.83,1996-03-16,5-LOW,Clerk#000000841,0, carefully bold instructions promise. bli
4200486,100939,F,342239.11,1994-05-18,4-NOT SPECIFIED,Clerk#000000965,0,he dependencies. carefully pending attainment
4200487,131648,F,38172.69,1993-04-15,3-MEDIUM,Clerk#000000919,0,"s cajole along the special, regular "
4200512,91772,F,278561.62,1993-07-03,3-MEDIUM,Clerk#000000891,0,ests detect ruthlessly against the theodolites
4200513,107434,F,116938.77,1993-03-27,4-NOT SPECIFIED,Clerk#000000122,0,uctions. slyly final ideas sleep slyl
4200514,63103,O,113645.86,1997-08-12,2-HIGH,Clerk#000000950,0,ructions haggle alongside of the ironic accounts. quickly bold theodolites 
4200515,60631,F,68052.79,1992-06-19,2-HIGH,Clerk#000000591,0,". ironically bold pains cajole carefully ironic ideas. final, expre"
4200516,60364,O,127795.21,1998-04-27,3-MEDIUM,Clerk#000000751,0,"quests are blithely. ironic ideas sleep. pending, bold dependenci"
4200517,56656,O,73857.28,1995-10-11,5-LOW,Clerk#000000797,0,e to haggle blithely regular requests. ironic accounts sleep furiously pend
4200518,148432,F,155781.16,1993-03-06,2-HIGH,Clerk#000000291,0,"ar instructions. pending, silent pearls maintain. final, final instructions "
4200519,36739,O,75081.79,1996-04-13,2-HIGH,Clerk#000000218,0,riously express dependencies sleep even theodolites. bold dolphins integra
4200544,65306,F,16920.52,1995-02-08,3-MEDIUM,Clerk#000000122,0,ies use along the furiously special d
4200545,36874,F,156460.61,1993-09-06,4-NOT SPECIFIED,Clerk#000000487,0,ajole slyly after the slyly regular requests. pending deposits above th
4200546,77173,F,214494.73,1994-11-10,5-LOW,Clerk#000000100,0,o beans. regularly pending accoun
4200547,113989,F,71345.30,1992-04-01,2-HIGH,Clerk#000000642,0,unusual accounts doze carefully blithely p
4200548,10018,O,156211.19,1997-06-04,3-MEDIUM,Clerk#000000789,0,"aggle furiously. special, express ideas about t"
4200549,39353,P,253909.71,1995-05-27,4-NOT SPECIFIED,Clerk#000000812,0,"ckages nag furiously. special, bold de"
4200550,55040,O,115645.39,1997-01-14,5-LOW,Clerk#000000529,0,uriously carefully regular dolphins. thinly even foxes a
4200551,3218,F,128579.07,1994-07-01,3-MEDIUM,Clerk#000000123,0,"ar deposits sleep quickly express, fluffy acc"
4200576,69634,O,78870.45,1997-02-03,4-NOT SPECIFIED,Clerk#000000634,0,y even dolphins. blithely bold deposits slee
4200577,9865,O,243418.86,1998-06-10,1-URGENT,Clerk#000000366,0,"rts. ironic, regular asymptotes at"
4200578,36874,F,60072.71,1995-05-18,4-NOT SPECIFIED,Clerk#000000032,0,en packages. carefully unusual deposits above the idly express package
4200579,81277,O,161650.83,1997-09-07,1-URGENT,Clerk#000000757,0,alongside of the carefully silent hockey players. bold packages
4200580,92405,O,130284.30,1996-11-03,1-URGENT,Clerk#000000718,0,ly according to the furiously even theodolites. blit
4200581,99448,O,112726.85,1996-03-07,2-HIGH,Clerk#000000722,0,oost according to the special fo
4200582,105484,F,265606.01,1992-09-15,1-URGENT,Clerk#000000033,0,gular accounts. instructi
4200583,138181,F,267409.99,1994-07-13,1-URGENT,Clerk#000000783,0,"he even deposits haggle quickly across the express, special de"
4200608,75415,F,67123.89,1993-04-07,5-LOW,Clerk#000000285,0,ly even accounts wake. carefully regular packag
4200609,139831,F,55834.47,1995-03-16,5-LOW,Clerk#000000696,0,y final accounts use across the pending dolphins. ironic r
4200610,56522,F,128809.75,1993-08-25,2-HIGH,Clerk#000000638,0,posits use. regular requests cajole sly
4200611,9910,F,101009.41,1993-02-09,5-LOW,Clerk#000000890,0,ely pending ideas? 
4200612,34231,F,5578.90,1993-06-24,1-URGENT,Clerk#000000125,0,y pending dependencies among the furiously ironic 
4200613,50896,P,178837.34,1995-03-11,4-NOT SPECIFIED,Clerk#000000060,0,gular foxes sleep carefully. carefully enticing accounts cajole slyly unu
4200614,81394,F,141260.34,1994-11-22,5-LOW,Clerk#000000770,0,ly ironic platelets.
4200615,113710,F,45880.38,1994-01-31,1-URGENT,Clerk#000000052,0,thely special theodolites are slyly. even packages cajole. special foxes haggl
4200640,117794,F,176939.89,1995-03-02,3-MEDIUM,Clerk#000000853,0,theodolites about the furiously even accounts are above the regularly 
4200641,60697,F,20688.98,1994-04-21,4-NOT SPECIFIED,Clerk#000000916,0,"ronic pinto beans about the bold, f"
4200642,114611,O,108057.49,1996-07-17,1-URGENT,Clerk#000000154,0,heodolites. carefully final requests kindle. special warthogs 
4200643,107260,F,239049.79,1994-11-29,5-LOW,Clerk#000000797,0,ress packages are furiously toward th
4200644,146839,O,110499.92,1996-11-13,5-LOW,Clerk#000000258,0,into beans. quickly final deposits c
4200645,97399,F,75792.95,1994-08-17,1-URGENT,Clerk#000000732,0,ependencies integrate. unusual theodolites among the ironic epitaphs nag
4200646,2965,F,172872.63,1994-07-30,5-LOW,Clerk#000000795,0,ckages may serve fluffily silent requests.
4200647,11038,O,395345.32,1997-09-06,2-HIGH,Clerk#000000717,0,nusual pinto beans sleep furiously alongside of th
4200672,107320,F,91000.86,1993-05-17,2-HIGH,Clerk#000000650,0,riously regular instru
4200673,127147,F,274664.94,1995-01-05,2-HIGH,Clerk#000000137,0,". ironic, unusual deposits doubt carefully special, final "
4200674,31594,O,223208.85,1996-02-24,5-LOW,Clerk#000000629,0,olphins wake carefully slyly final foxes. express ideas nag carefully. i
4200675,144529,F,65535.31,1993-02-06,3-MEDIUM,Clerk#000000443,0,ependencies. fluffily exp
4200676,128710,F,39212.61,1994-07-21,4-NOT SPECIFIED,Clerk#000000086,0,ges are furiously regular tithes. pending packa
4200677,73228,F,93018.90,1994-07-30,3-MEDIUM,Clerk#000000316,0,t slyly regular packages. slyly even de
4200678,112501,F,105376.48,1993-02-09,3-MEDIUM,Clerk#000000170,0,lithely regular theodolites sleep furi
4200679,53027,O,397927.74,1998-07-11,2-HIGH,Clerk#000000768,0," regular, even asymptotes. accounts s"
4200704,65386,F,218107.50,1992-06-06,2-HIGH,Clerk#000000310,0,nal pinto beans. quickly even requests x-ray quickly along 
4200705,29564,P,240676.37,1995-03-26,5-LOW,Clerk#000000434,0,"ow, ironic asymptotes. even"
4200706,73798,O,42986.75,1995-05-07,4-NOT SPECIFIED,Clerk#000000002,0,ar requests cajole slyly. furiously regular r
4200707,111944,O,242929.09,1996-06-20,1-URGENT,Clerk#000000885,0,ests affix slyly even multi
4200708,134920,O,222436.02,1998-04-22,1-URGENT,Clerk#000000266,0,te silent foxes. quickly regular
4200709,30050,O,34189.02,1998-06-10,1-URGENT,Clerk#000000926,0,inal excuses. carefully ruthless instructions cajole theodolites. carefully 
4200710,149255,F,35108.62,1995-05-19,5-LOW,Clerk#000000796,0,fully special pinto beans. final dependen
4200711,68167,F,163955.96,1993-06-08,4-NOT SPECIFIED,Clerk#000000808,0,"instructions sleep special, final deposits. caref"
4200736,114686,F,11841.58,1994-01-11,2-HIGH,Clerk#000000595,0,"unusual, even deposit"
4200737,15391,O,90656.45,1998-04-06,3-MEDIUM,Clerk#000000450,0,y bold foxes. pendin
4200738,63163,O,140264.64,1995-07-01,2-HIGH,Clerk#000000849,0,e carefully express requests. q
4200739,20989,O,236855.66,1996-10-03,2-HIGH,Clerk#000000538,0,s. blithely pending foxe
4200740,111314,F,188854.45,1994-09-18,3-MEDIUM,Clerk#000000687,0,the slyly even packages boost quickly deposits. asymptotes 
4200741,48034,O,48071.56,1997-10-02,2-HIGH,Clerk#000000726,0,s detect foxes. theodolites 
4200742,139850,F,229334.29,1994-01-11,4-NOT SPECIFIED,Clerk#000000757,0,ar platelets affix quickly ironic excuses. thinly express dolphins 
4200743,105595,O,183546.55,1995-08-12,2-HIGH,Clerk#000000554,0,pecial accounts are slyly final dinos. blithe packages a
4200768,84643,F,298808.52,1994-11-08,1-URGENT,Clerk#000000811,0,fluffily around the blithely pending 
4200769,143932,F,200867.32,1993-06-28,1-URGENT,Clerk#000000205,0,uests eat about the blithely express instructions.
4200770,5809,F,229702.74,1995-02-13,4-NOT SPECIFIED,Clerk#000000757,0, accounts use blithely. blithely final ideas haggle quickly blit
4200771,122270,O,14681.66,1997-08-15,1-URGENT,Clerk#000000799,0,side the furiously ironic deposits? 
4200772,125131,O,228777.53,1998-03-26,1-URGENT,Clerk#000000196,0,"es of the special, final pinto beans use furiously according "
4200773,61177,O,43589.13,1998-05-10,4-NOT SPECIFIED,Clerk#000000626,0,es. furiously careful deposits nag. quick
4200774,70571,F,99937.42,1993-01-21,4-NOT SPECIFIED,Clerk#000000405,0,y sometimes along the blithely unusual ideas
4200775,28763,O,281483.23,1995-11-27,2-HIGH,Clerk#000000171,0,accounts should have to cajole courts. slyly 
4200800,116743,O,264896.31,1997-01-21,3-MEDIUM,Clerk#000000801,0, use after the furiously pending excuses. bold excuses boost slyly dep
4200801,83200,O,177699.10,1996-12-02,5-LOW,Clerk#000000352,0,efully pending foxes are fl
4200802,10309,F,254326.56,1994-12-29,3-MEDIUM,Clerk#000000228,0,ns. ironically final accounts promis
4200803,135526,O,13696.94,1996-04-15,3-MEDIUM,Clerk#000000220,0,nusual deposits are blithely. even dolphins cajole furiously after the
4200804,3226,O,13768.12,1996-08-11,2-HIGH,Clerk#000000086,0,cajole furiously across the furiously regular accounts. ironic requests 
4200805,63859,F,66941.06,1992-05-10,1-URGENT,Clerk#000000390,0,haggle slyly ironic requests. sauternes above the slyly regular i
4200806,21109,F,168732.15,1994-06-20,2-HIGH,Clerk#000000543,0,posits above the thinly regular requests sleep qu
4200807,20653,F,158496.01,1992-08-11,4-NOT SPECIFIED,Clerk#000000732,0,theodolites. never final accounts wake carefully quickly pending reque
4200832,569,O,146549.12,1997-12-26,5-LOW,Clerk#000000849,0,"ckages about the final, regular theodolites a"
4200833,110248,F,133942.84,1992-03-19,1-URGENT,Clerk#000000575,0,"riously. pending theodolites haggle quickly regular, bold asymptotes. slyly r"
4200834,134074,F,50091.18,1993-12-31,1-URGENT,Clerk#000000473,0,ithes. blithely even packages across the slyly 
4200835,55432,O,169666.44,1997-11-29,4-NOT SPECIFIED,Clerk#000000148,0,luffily ironic deposits. ironic theodolites
4200836,126898,O,181541.75,1998-04-22,1-URGENT,Clerk#000000100,0,ly even dolphins could have to sleep carefully slyly blithe instructions.
4200837,69406,F,215397.27,1992-10-21,5-LOW,Clerk#000000988,0,y. quickly regular pinto beans haggle accounts. deposits after the request
4200838,94189,O,321333.89,1998-05-15,3-MEDIUM,Clerk#000000047,0,nts. quickly regular packages among the slyly silent ideas w
4200839,78682,O,6570.47,1995-07-26,1-URGENT,Clerk#000000812,0,ets nag above the furi
4200864,144668,O,180837.56,1995-09-07,1-URGENT,Clerk#000000141,0, according to the blithely regular packages
4200865,71371,F,201311.84,1994-10-10,2-HIGH,Clerk#000000560,0,foxes. slyly bold deposits above
4200866,104392,F,147081.43,1992-06-02,4-NOT SPECIFIED,Clerk#000000516,0,ending pinto beans are toward the furiously ironic accounts. furiou
4200867,85769,F,11418.45,1994-06-18,5-LOW,Clerk#000000503,0, requests detect blithely about the enticingly unusual accounts. fluffy Tires
4200868,11299,O,208052.34,1997-04-27,2-HIGH,Clerk#000000355,0,al instructions solve blithely according to the carefull
4200869,126431,F,80779.50,1994-09-06,4-NOT SPECIFIED,Clerk#000000239,0,y regular requests. final instructions across
4200870,24796,O,73010.23,1996-02-04,3-MEDIUM,Clerk#000000578,0,ges. blithely final pinto beans wake slyly according to the bold excus
4200871,44077,O,111208.18,1997-03-28,4-NOT SPECIFIED,Clerk#000000432,0,"ual, pending accounts; special, even re"
4200896,92723,F,358864.18,1993-07-14,4-NOT SPECIFIED,Clerk#000000252,0,osits poach. fluffily final ideas sleep blithely furiously special foxes. fina
4200897,32747,O,71484.73,1995-08-30,1-URGENT,Clerk#000000156,0,pending asymptotes solve quickly slyly pending asymptotes. carefully regular
4200898,16634,O,74387.38,1998-01-26,5-LOW,Clerk#000000071,0,nt packages boost furiously slyly regular excuses. blithely
4200899,111784,F,59232.07,1992-04-18,1-URGENT,Clerk#000000769,0,"iet, unusual account"
4200900,127372,O,214907.28,1997-07-06,4-NOT SPECIFIED,Clerk#000000848,0,luffily bold packages cajole fu
4200901,82321,O,200769.87,1998-02-19,5-LOW,Clerk#000000264,0,", express packages. blithely silent packages boost evenly besides the "
4200902,102391,F,17137.63,1992-07-16,5-LOW,Clerk#000000835,0,en deposits use carefully blithely regular packages. fluffily regula
4200903,83593,F,233906.27,1993-04-24,4-NOT SPECIFIED,Clerk#000000386,0,nts after the ironic accounts wa
4200928,26645,O,27928.61,1998-06-15,2-HIGH,Clerk#000000771,0,ngage carefully ruthless packag
4200929,68858,F,174714.79,1994-09-15,5-LOW,Clerk#000000467,0,c accounts. ironic deposits serve. packages about the blithely final pac
4200930,38800,F,269941.59,1995-01-06,4-NOT SPECIFIED,Clerk#000000673,0,egrate according to the fluffily i
4200931,32347,F,127392.84,1993-04-18,1-URGENT,Clerk#000000196,0,lar requests. carefully final deposits integrate carefully regula
